pcd0,pcd1,volume,addedVolume,removedVolume,surface,matchingPercent,averageNeighborsPerCell
res/point_clouds/dense_2022_09_18_ep_48.ply,res/point_clouds/dense_2022_09_18_ep_48.ply,-565.6901,41.8363,607.5265,2879.6399,73.4,7.4
res/point_clouds/dense_2022_09_19_ep_49.ply,res/point_clouds/dense_2022_09_19_ep_49.ply,-296.9957,65.4651,362.4608,2927.6399,79.7,7.5
res/point_clouds/dense_2022_09_20_ep_50.ply,res/point_clouds/dense_2022_09_20_ep_50.ply,-635.2131,35.3719,670.5850,2890.9199,72.8,7.5
res/point_clouds/dense_2022_09_22_ep_51.ply,res/point_clouds/dense_2022_09_22_ep_51.ply,-631.1108,81.4104,712.5212,3490.4399,90.8,7.7
res/point_clouds/dense_2022_09_23_ep_52.ply,res/point_clouds/dense_2022_09_23_ep_52.ply,-825.3801,40.3803,865.7604,3042.8799,78.9,7.6
res/point_clouds/dense_2022_09_26_ep_53.ply,res/point_clouds/dense_2022_09_26_ep_53.ply,-284.5772,80.2275,364.8046,3660.5599,90.7,7.7
res/point_clouds/dense_2022_09_27_ep_54.ply,res/point_clouds/dense_2022_09_27_ep_54.ply,-111.4690,145.4993,256.9683,3349.3199,88.0,7.7
res/point_clouds/dense_2022_09_28_ep_55.ply,res/point_clouds/dense_2022_09_28_ep_55.ply,118.8461,350.4721,231.6260,2985.1199,76.8,7.4
res/point_clouds/dense_2022_09_29_ep_56.ply,res/point_clouds/dense_2022_09_29_ep_56.ply,-271.1959,158.1724,429.3683,3203.5599,78.2,7.4
res/point_clouds/dense_2022_09_30_ep_57.ply,res/point_clouds/dense_2022_09_30_ep_57.ply,-330.3770,113.6977,444.0746,3292.5599,84.7,7.6
res/point_clouds/dense_2022_10_02_ep_58.ply,res/point_clouds/dense_2022_10_02_ep_58.ply,-326.4373,105.2447,431.6819,2579.3999,75.3,7.2
res/point_clouds/dense_2022_10_03_ep_59.ply,res/point_clouds/dense_2022_10_03_ep_59.ply,-230.8313,128.6518,359.4831,2915.3199,77.8,7.2
res/point_clouds/dense_2022_10_04_ep_60.ply,res/point_clouds/dense_2022_10_04_ep_60.ply,-294.2180,102.4137,396.6317,2975.9599,78.3,7.4
res/point_clouds/dense_2022_10_05_ep_61.ply,res/point_clouds/dense_2022_10_05_ep_61.ply,-594.0853,42.9517,637.0371,2790.8799,69.7,7.3
res/point_clouds/dense_2022_10_06_ep_62.ply,res/point_clouds/dense_2022_10_06_ep_62.ply,51.4709,284.4027,232.9318,3005.5999,75.1,7.3
res/point_clouds/dense_2022_10_07_ep_63.ply,res/point_clouds/dense_2022_10_07_ep_63.ply,-401.5551,54.0886,455.6437,2954.1599,76.9,7.4
res/point_clouds/dense_2022_10_08_ep_64.ply,res/point_clouds/dense_2022_10_08_ep_64.ply,-430.5142,68.2207,498.7349,3649.7599,88.2,7.6
res/point_clouds/dense_2022_10_10_ep_65.ply,res/point_clouds/dense_2022_10_10_ep_65.ply,-1110.3119,84.9985,1195.3103,3320.7999,82.9,7.7
res/point_clouds/dense_2022_10_11_ep_66.ply,res/point_clouds/dense_2022_10_11_ep_66.ply,-486.2491,50.4116,536.6607,3420.9199,85.7,7.6
res/point_clouds/dense_2022_10_12_ep_67.ply,res/point_clouds/dense_2022_10_12_ep_67.ply,-187.9259,138.7401,326.6661,3372.8799,83.6,7.5
res/point_clouds/dense_2022_10_13_ep_68.ply,res/point_clouds/dense_2022_10_13_ep_68.ply,-295.0234,84.3162,379.3396,3450.0799,86.6,7.7
res/point_clouds/dense_2022_10_14_ep_69.ply,res/point_clouds/dense_2022_10_14_ep_69.ply,-125.7830,174.2727,300.0557,3000.7999,76.7,7.4
res/point_clouds/dense_2022_10_15_ep_70.ply,res/point_clouds/dense_2022_10_15_ep_70.ply,-185.0395,140.3010,325.3405,2704.7599,71.2,7.3
res/point_clouds/dense_2022_10_16_ep_71.ply,res/point_clouds/dense_2022_10_16_ep_71.ply,-142.2947,177.0756,319.3702,3174.7599,78.9,7.5
res/point_clouds/dense_2022_10_17_ep_72.ply,res/point_clouds/dense_2022_10_17_ep_72.ply,-527.5778,49.5640,577.1418,2966.6799,75.2,7.4
res/point_clouds/dense_2022_10_18_ep_73.ply,res/point_clouds/dense_2022_10_18_ep_73.ply,-427.1923,39.9183,467.1106,2578.3999,75.8,7.3
res/point_clouds/dense_2022_10_19_ep_74.ply,res/point_clouds/dense_2022_10_19_ep_74.ply,-649.9021,30.5846,680.4867,3087.8399,78.1,7.5
res/point_clouds/dense_2022_10_20_ep_75.ply,res/point_clouds/dense_2022_10_20_ep_75.ply,-298.8889,124.6155,423.5044,3404.5599,84.7,7.6
res/point_clouds/dense_2022_10_22_ep_76.ply,res/point_clouds/dense_2022_10_22_ep_76.ply,-402.3859,74.3177,476.7036,2828.7999,79.7,7.5
res/point_clouds/dense_2022_10_23_ep_77.ply,res/point_clouds/dense_2022_10_23_ep_77.ply,-100.2685,246.8328,347.1013,2684.1599,70.7,7.5
res/point_clouds/dense_2022_10_25_ep_78.ply,res/point_clouds/dense_2022_10_25_ep_78.ply,-419.5230,47.2706,466.7936,3403.4799,87.5,7.6
res/point_clouds/dense_2022_10_26_ep_79.ply,res/point_clouds/dense_2022_10_26_ep_79.ply,-94.8811,176.4847,271.3658,2970.5999,82.6,7.4
res/point_clouds/dense_2022_10_27_ep_80.ply,res/point_clouds/dense_2022_10_27_ep_80.ply,-449.9046,32.0853,481.9899,2681.6799,67.7,7.5
res/point_clouds/dense_2022_10_28_ep_81.ply,res/point_clouds/dense_2022_10_28_ep_81.ply,-430.0413,56.4211,486.4624,3487.7199,90.2,7.7
